age_calBP,Age [ka b2k],Temp1,Temp2,Temp3,Temp4
31004.75,31004.8,8.12,6.38,8.54,6.33
31225.05,31225.1,7.75,7.1,8.12,7.01
31335.15,31335.2,8.37,6.99,8.74,6.9
31445.25,31445.3,7.12,6.96,7.46,6.85
31665.55,31665.6,6.98,6.79,7.4,6.74
31885.75,31885.8,5.96,6.39,6.54,6.45
32237.05,32237.1,3.64,6.02,4.26,6.13
32368.55,32368.6,3.74,5.9,4.75,6.3
32434.25,32434.3,3.89,6.25,5.26,6.91
32553.75,32553.8,5.58,6.56,6.15,6.62
32714.95,32715,5.6,6.33,5.81,6.12
32822.45,32822.5,5.73,6.38,6.07,6.28
33091.25,33091.3,5.64,5.99,5.97,5.87
33359.95,33360,4.66,6.44,5.44,6.66
33454.95,33455,3.66,6.16,4.63,6.53
33781.65,33781.7,6.94,6.26,7.23,6.11
33989.95,33990,6.76,6.22,7.5,6.41
34198.25,34198.3,6.99,6.36,7.48,6.37
34406.65,34406.7,6.53,4.21,6.49,3.81
34510.75,34510.8,7.01,6.28,6.75,5.73
35035.95,35036,7.11,6.55,7.49,6.47
35405.95,35406,6.48,6.45,7.06,6.52
35589.95,35590,4.05,5.91,5.47,6.61
35754.95,35755,4.41,5.79,5.64,6.34
35864.95,35865,4.31,6.34,5,6.5
36029.95,36030,4.01,5.44,5.22,5.98
36194.95,36195,3.99,5.78,5.25,6.37
36359.95,36360,3.65,5.84,5.25,6.67
36469.95,36470,3.66,5.91,4.93,6.5
36579.95,36580,3.75,6.01,5.86,7.22
36878.15,36878.2,3.64,6.09,5.77,7.32
37176.35,37176.4,3.92,6.49,6.39,7.97
37474.45,37474.5,4.49,6.54,7.08,8.11
37772.65,37772.7,5.35,6.57,8.91,8.87
38070.85,38070.9,4.16,6.06,6.44,7.4
38284.55,38284.6,5.34,6.66,8.68,8.79
38413.75,38413.8,3.89,6.57,4.86,6.94
38543.05,38543.1,4.08,6.77,4.99,7.09
38736.85,38736.9,4.59,6.18,5.59,6.57
38930.75,38930.8,4.17,6.45,5.38,7
39124.55,39124.6,5.13,6.49,6.04,6.8
39318.45,39318.5,4.31,6.15,5.39,6.59
39512.25,39512.3,4.31,6.27,5.27,6.63
39641.45,39641.5,5.04,5.76,5,5.37
39770.75,39770.8,5.03,5.98,5.35,5.86
39835.35,39835.4,4.68,6.49,5.6,6.82
39899.95,39900,5.2,5.86,5.17,5.48
39939.95,39940,4.36,6.2,4.36,5.83
39959.95,39960,4,6.45,4.95,6.79
39979.95,39980,4.63,6.1,4.59,5.71
40019.95,40020,4.92,6.13,5.27,6.03
40059.95,40060,4.15,6.27,4.85,6.43
40099.95,40100,4.44,6.08,4.76,5.96
40139.95,40140,4.02,6.9,5.87,7.92
40201.95,40202,5.89,6.07,5.85,5.67
40285.95,40286,6.94,6.41,6.87,5.99
40412.95,40413,6.12,6.4,6.08,6
40498.95,40499,5.78,6.28,6.42,6.39
40627.95,40628,6.78,6.94,7.19,6.88
40670.95,40671,6.01,6.57,6.24,6.38
40756.95,40757,5.38,6.31,5.82,6.28
40799.95,40800,5.68,6.25,6.18,6.26
40999.95,41000,5.39,6.45,5.91,6.48
41076.65,41076.7,4.75,5.92,5.01,5.75
41229.95,41230,3.29,6.26,3.53,6.08
41306.65,41306.7,3.37,6.2,4.46,6.65
41383.25,41383.3,3.08,6.7,4.82,7.64
41459.95,41460,5.77,7.01,6.73,7.36
41484.45,41484.5,6.85,7.38,7.17,7.25
41509.05,41509.1,7.31,7.53,7.76,7.5
41558.15,41558.2,5.65,6.62,5.45,6.11
41582.65,41582.7,6.26,6.45,6.04,5.92
41631.75,41631.8,5.97,6.2,5.76,5.68
41680.85,41680.9,6.43,6.62,6.22,6.09
41729.95,41730,6.49,6.27,6.28,5.74
41779.05,41779.1,6.06,6.37,5.84,5.84
41828.15,41828.2,5.78,6.41,5.57,5.89
41877.25,41877.3,7.13,7.35,7.72,7.43
41926.35,41926.4,6.03,6.27,5.81,5.74
41975.45,41975.5,6,6.51,5.78,5.98
42039.95,42040,6.21,6.79,5.98,6.26
42119.95,42120,6.17,6.34,5.96,5.82
42199.95,42200,6.07,6.21,5.86,5.69
42349.95,42350,5.67,6.3,5.47,5.79
